Section name,kg/m,h,b,tw,tf,r,hi,d,A,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z,iz,Ss,It,Iw,Class flexural S355,Class flexural S460,Class axial S355,Class axial S460
IPE 750 x 220,220.0,779,266,16.5,30,20,719,679,280.7,279390,7173,8231,31.4,139,9443,710,1114,5.7,9.9,620.5,13190,1,1,4,4
IPE 750 x 196,196.0,770,268,15.6,25.4,20,719,679,250.8,241470,6271,7207,30.9,129.7,8177,610.2,960.1,5.6,8.9,416.5,11290,1,1,4,4
IPE 750 x 173,173.0,762,267,14.4,21.6,20,719,679,221.3,207010,5433,6251,30.5,118.6,6875,515,811.1,5.5,8.1,278.7,9390,1,1,4,4
IPE 750 x 147,147.0,753,265,13.2,17,20,719,679,187.5,167250,4442,5143,29.7,107.3,5291,399.3,632,5.2,7,163.2,7140,1,1,4,4
IPE 750 x 134,134.0,750,264,12,15.5,20,719,679,170.6,151890,4050,4678,29.7,97.77,4767,361.2,569.6,5.2,6.6,124.9,6410,1,2,4,4
IPE V 600,184.0,618,228,18,28,24,562,514,233.8,141580,4581,5324,24.6,124.5,5569,488.5,780.3,4.8,10.2,505.8,4813,1,1,2,3
IPE O 600,154.0,610,224,15,24,24,562,514,196.8,118300,3878,4471,24.5,104.3,4520,403.6,640,4.7,9.1,316.3,3859,1,1,4,4
IPE 600,122.0,600,220,12,19,24,562,514,156,92080,3069,3512,24.2,83.78,3387,307.9,485.6,4.6,7.8,165.2,2845,1,1,4,4
IPE A 600,108.0,597,220,9.8,17.5,24,562,514,137,82910,2777,3141,24.5,70.13,3116,283.2,442,4.7,7.2,122.1,2607,1,2,4,4
IPE O 550,123.0,556,212,12.7,20.2,24,515.6,467.6,156.1,79150,2847,3263,22.5,82.68,3224,304.1,480.5,4.5,8.1,187.1,2302,1,1,4,4
IPE 550,106.0,550,210,11.1,17.2,24,515.6,467.6,134.4,67110,2440,2787,22.3,72.34,2667,254,400.5,4.4,7.3,122.8,1884,1,1,4,4
IPE A 550,92.1,547,210,9,15.7,24,515.6,467.6,117.3,59970,2193,2474,22.6,60.29,2432,231.6,361.5,4.5,6.8,89.29,1710,1,2,4,4
IPE AA 550,79.5,541,210,8.5,12.5,24,515.6,467.6,101.3,49550,1831,2078,22.1,55.86,1937,184.5,289.6,4.3,6.1,56.18,1347,1,2,4,4
IPE V 500,129.0,514,204,14.2,23,21,468,426,164.1,70710,2751,3168,20.7,83.16,3271,320.7,506.6,4.4,8.4,241.5,1961,1,1,2,3
IPE O 500,107.0,506,202,12,19,21,468,426,136.7,57770,2283,2612,20.5,70.2,2621,259.5,408.5,4.3,7.4,142.7,1547,1,1,4,4
IPE 500,90.7,500,200,10.2,16,21,468,426,115.5,48190,1927,2194,20.4,59.87,2141,214.1,335.8,4.3,6.6,89.09,1249,1,1,4,4
IPE A 500,79.4,497,200,8.4,14.5,21,468,426,101.1,42930,1727,1946,20.6,50.4,1939,193.9,301.6,4.3,6.2,64.28,1125,1,1,4,4
IPE AA 500,73.2,495.2,200,7.5,13.6,21,468,426,93.3,39940,1613,1807,20.6,45.61,1818,181.8,281.7,4.4,5.9,52.86,1051,1,2,4,4
IPE V 450,107.0,460,194,12.4,19.6,21,420.8,378.8,132,46200,2008,2301,18.7,66.62,2396,247.1,389.1,4.2,7.6,148.8,1156,1,1,2,4
IPE O 450,92.4,456,192,11,17.6,21,420.8,378.8,117.7,40920,1794,2046,18.6,59.4,2085,217.2,340.9,4.2,7,108.9,997.5,1,1,4,4
IPE 450,77.6,450,190,9.4,14.6,21,420.8,378.8,98.8,33740,1499,1701,18.4,50.84,1675,176.4,276.3,4.1,6.3,66.74,791,1,1,4,4
IPE A 450,67.2,447,190,7.6,13.1,21,420.8,378.8,85.6,29750,1331,1494,18.6,42.26,1502,158.1,245.7,4.1,5.8,47.13,704.8,1,1,4,4
IPE AA 450,62.1,445.4,190,6.8,12.3,21,420.8,378.8,79.1,27740,1246,1391,18.7,38.4,1410,148.4,229.9,4.2,5.6,39.16,659.3,1,2,4,4
IPE V 400,84.0,408,182,10.6,17.5,21,373,331,107,30130,1477,1681,16.7,52.52,1766,194.1,304,4,7,99.58,670.3,1,1,3,4
IPE O 400,75.7,404,182,9.7,15.5,21,373,331,96.4,26740,1324,1502,16.6,47.98,1564,171.8,269,4,6.5,73.34,587.6,1,1,3,4
IPE 400,66.3,400,180,8.6,13.5,21,373,331,84.5,23120,1156,1307,16.5,42.69,1317,146.4,229,3.9,6,51.27,490,1,1,4,4
IPE A 400,57.4,397,180,7,12,21,373,331,73.1,20290,1022,1143,16.6,35.77,1170,130,202,4,5.5,36.16,432.2,1,1,4,4
IPE AA 400,53.4,395.6,180,6.3,11.3,21,373,331,68,19000,960.5,1069,16.7,32.74,1102,122.4,189.7,4,5.3,30.53,405.5,1,2,4,4
IPE O 360,66.0,364,172,9.2,14.7,18,334.6,298.6,84.1,19040,1046,1186,15,40.2,1251,145.4,226.9,3.8,5.9,55.74,380.2,1,1,3,4
IPE 360,57.1,360,170,8,12.7,18,334.6,298.6,72.7,16260,903.6,1019,14.9,35.13,1043,122.7,191,3.7,5.4,37.44,313.5,1,1,4,4
IPE A 360,50.2,357.6,170,6.6,11.5,18,334.6,298.6,64,14510,811.8,906.7,15,29.76,944.2,111,171.8,3.8,5,27.36,281.9,1,1,4,4
IPE AA 360,47.0,356.4,170,6,10.9,18,334.6,298.6,59.9,13670,767.5,853.5,15.1,27.43,894.8,105.2,162.4,3.8,4.8,23.37,266.3,1,1,4,4
